Field(Oe),Voltage(mV),sample name,Applied in-plane field (Oe),Applied current (mA),Initial resistance Ohm_
-200.0,"281.3095417383821
",sample name,400.0,-1.5,2818.905242348308
-193.333333333,"281.268341222031
",sample name,400.0,-1.5,2818.905242348308
-186.666666667,"281.56798623063685
",sample name,400.0,-1.5,2818.905242348308
-180.0,"281.27780765920824
",sample name,400.0,-1.5,2818.905242348308
-173.333333333,"281.14248063683306
",sample name,400.0,-1.5,2818.905242348308
-166.666666667,"280.7990533562823
",sample name,400.0,-1.5,2818.905242348308
-160.0,"281.1379625645439
",sample name,400.0,-1.5,2818.905242348308
-153.333333333,"281.1014952667814
",sample name,400.0,-1.5,2818.905242348308
-146.666666667,"281.09364242685024
",sample name,400.0,-1.5,2818.905242348308
-140.0,"281.4880593803787
",sample name,400.0,-1.5,2818.905242348308
-133.333333333,"281.15850903614455
",sample name,400.0,-1.5,2818.905242348308
-126.666666667,"281.3507960413081
",sample name,400.0,-1.5,2818.905242348308
-120.0,"280.5105959552496
",sample name,400.0,-1.5,2818.905242348308
-113.333333333,"280.94002796901896
",sample name,400.0,-1.5,2818.905242348308
-106.666666667,"281.25457185886404
",sample name,400.0,-1.5,2818.905242348308
-100.0,"281.3763446643718
",sample name,400.0,-1.5,2818.905242348308
-93.3333333333,"280.76807228915663
",sample name,400.0,-1.5,2818.905242348308
-86.6666666667,"280.78431583476765
",sample name,400.0,-1.5,2818.905242348308
-80.0,"281.2331110154905
",sample name,400.0,-1.5,2818.905242348308
-73.3333333333,"281.02925989672974
",sample name,400.0,-1.5,2818.905242348308
-66.6666666667,"281.1255916523236
",sample name,400.0,-1.5,2818.905242348308
-60.0,"280.8371342512909
",sample name,400.0,-1.5,2818.905242348308
-53.3333333333,"281.085413080895
",sample name,400.0,-1.5,2818.905242348308
-46.6666666667,"280.83966222030983
",sample name,400.0,-1.5,2818.905242348308
-40.0,"280.7305830464716
",sample name,400.0,-1.5,2818.905242348308
-33.3333333333,"280.7273020654045
",sample name,400.0,-1.5,2818.905242348308
-26.6666666667,"281.2490318416523
",sample name,400.0,-1.5,2818.905242348308
-20.0,"281.20121557659206
",sample name,400.0,-1.5,2818.905242348308
-13.3333333333,"281.26129518072287
",sample name,400.0,-1.5,2818.905242348308
-6.66666666667,"281.3918889845095
",sample name,400.0,-1.5,2818.905242348308
0.0,"281.2855529259897
",sample name,400.0,-1.5,2818.905242348308
6.66666666667,"281.0929969879518
",sample name,400.0,-1.5,2818.905242348308
13.3333333333,"281.32314974182447
",sample name,400.0,-1.5,2818.905242348308
20.0,"281.2448364888124
",sample name,400.0,-1.5,2818.905242348308
26.6666666667,"280.91119836488815
",sample name,400.0,-1.5,2818.905242348308
33.3333333333,"281.0509358864028
",sample name,400.0,-1.5,2818.905242348308
40.0,"281.10122633390705
",sample name,400.0,-1.5,2818.905242348308
46.6666666667,"281.15356067125646
",sample name,400.0,-1.5,2818.905242348308
53.3333333333,"282.88150817555936
",sample name,400.0,-1.5,2818.905242348308
60.0,"285.4902108433735
",sample name,400.0,-1.5,2818.905242348308
66.6666666667,"285.4347030981067
",sample name,400.0,-1.5,2818.905242348308
73.3333333333,"286.2087994836489
",sample name,400.0,-1.5,2818.905242348308
80.0,"286.1197289156627
",sample name,400.0,-1.5,2818.905242348308
86.6666666667,"286.33928571428567
",sample name,400.0,-1.5,2818.905242348308
93.3333333333,"285.5904690189329
",sample name,400.0,-1.5,2818.905242348308
100.0,"286.0597030981067
",sample name,400.0,-1.5,2818.905242348308
106.666666667,"285.54824655765924
",sample name,400.0,-1.5,2818.905242348308
113.333333333,"285.75505593803786
",sample name,400.0,-1.5,2818.905242348308
120.0,"285.1070352839931
",sample name,400.0,-1.5,2818.905242348308
126.666666667,"285.1695352839931
",sample name,400.0,-1.5,2818.905242348308
133.333333333,"285.177495697074
",sample name,400.0,-1.5,2818.905242348308
140.0,"284.9465361445783
",sample name,400.0,-1.5,2818.905242348308
146.666666667,"287.38925344234076
",sample name,400.0,-1.5,2818.905242348308
153.333333333,"285.6427495697074
",sample name,400.0,-1.5,2818.905242348308
160.0,"287.07718373493975
",sample name,400.0,-1.5,2818.905242348308
166.666666667,"286.9405120481928
",sample name,400.0,-1.5,2818.905242348308
173.333333333,"285.45169965576594
",sample name,400.0,-1.5,2818.905242348308
180.0,"285.60380808950083
",sample name,400.0,-1.5,2818.905242348308
186.666666667,"285.618330464716
",sample name,400.0,-1.5,2818.905242348308
193.333333333,"285.63538080895006
",sample name,400.0,-1.5,2818.905242348308
200.0,"285.4901570567986
",sample name,400.0,-1.5,2818.905242348308
193.333333333,"286.0964931153184
",sample name,400.0,-1.5,2818.905242348308
186.666666667,"286.97875430292595
",sample name,400.0,-1.5,2818.905242348308
180.0,"285.0406626506024
",sample name,400.0,-1.5,2818.905242348308
173.333333333,"285.5249031841652
",sample name,400.0,-1.5,2818.905242348308
166.666666667,"285.5769685886403
",sample name,400.0,-1.5,2818.905242348308
160.0,"285.4433627366609
",sample name,400.0,-1.5,2818.905242348308
153.333333333,"285.396675989673
",sample name,400.0,-1.5,2818.905242348308
146.666666667,"285.5636295180723
",sample name,400.0,-1.5,2818.905242348308
140.0,"285.3722030981067
",sample name,400.0,-1.5,2818.905242348308
133.333333333,"285.04405120481925
",sample name,400.0,-1.5,2818.905242348308
126.666666667,"285.496665232358
",sample name,400.0,-1.5,2818.905242348308
120.0,"285.261241394148
",sample name,400.0,-1.5,2818.905242348308
113.333333333,"285.53098106712565
",sample name,400.0,-1.5,2818.905242348308
106.666666667,"285.4051204819277
",sample name,400.0,-1.5,2818.905242348308
100.0,"285.7135864888124
",sample name,400.0,-1.5,2818.905242348308
93.3333333333,"285.41921256454384
",sample name,400.0,-1.5,2818.905242348308
86.6666666667,"285.65366824440616
",sample name,400.0,-1.5,2818.905242348308
80.0,"285.4984939759036
",sample name,400.0,-1.5,2818.905242348308
73.3333333333,"285.4923085197935
",sample name,400.0,-1.5,2818.905242348308
66.6666666667,"285.84063037865747
",sample name,400.0,-1.5,2818.905242348308
60.0,"285.3774741824441
",sample name,400.0,-1.5,2818.905242348308
53.3333333333,"285.52415017211706
",sample name,400.0,-1.5,2818.905242348308
46.6666666667,"285.7389199655766
",sample name,400.0,-1.5,2818.905242348308
40.0,"285.8592405335628
",sample name,400.0,-1.5,2818.905242348308
33.3333333333,"285.5321643717728
",sample name,400.0,-1.5,2818.905242348308
26.6666666667,"285.3870481927711
",sample name,400.0,-1.5,2818.905242348308
20.0,"285.68298192771084
",sample name,400.0,-1.5,2818.905242348308
13.3333333333,"285.40802495697073
",sample name,400.0,-1.5,2818.905242348308
6.66666666667,"285.5945567986231
",sample name,400.0,-1.5,2818.905242348308
0.0,"285.44739672977624
",sample name,400.0,-1.5,2818.905242348308
-6.66666666667,"285.660015060241
",sample name,400.0,-1.5,2818.905242348308
-13.3333333333,"285.5981604991394
",sample name,400.0,-1.5,2818.905242348308
-20.0,"285.6137048192771
",sample name,400.0,-1.5,2818.905242348308
-26.6666666667,"285.96616824440616
",sample name,400.0,-1.5,2818.905242348308
-33.3333333333,"285.609993545611
",sample name,400.0,-1.5,2818.905242348308
-40.0,"285.7149311531842
",sample name,400.0,-1.5,2818.905242348308
-46.6666666667,"285.0715361445783
",sample name,400.0,-1.5,2818.905242348308
-53.3333333333,"283.66872848537
",sample name,400.0,-1.5,2818.905242348308
-60.0,"280.58638123924266
",sample name,400.0,-1.5,2818.905242348308
-66.6666666667,"281.12532271944923
",sample name,400.0,-1.5,2818.905242348308
-73.3333333333,"280.8135757314974
",sample name,400.0,-1.5,2818.905242348308
-80.0,"280.9131346815835
",sample name,400.0,-1.5,2818.905242348308
-86.6666666667,"280.6334982788296
",sample name,400.0,-1.5,2818.905242348308
-93.3333333333,"281.4832185886403
",sample name,400.0,-1.5,2818.905242348308
-100.0,"280.9147482788296
",sample name,400.0,-1.5,2818.905242348308
-106.666666667,"281.1038618760757
",sample name,400.0,-1.5,2818.905242348308
-113.333333333,"281.46084337349396
",sample name,400.0,-1.5,2818.905242348308
-120.0,"281.2793136833046
",sample name,400.0,-1.5,2818.905242348308
-126.666666667,"281.2494621342513
",sample name,400.0,-1.5,2818.905242348308
-133.333333333,"281.2288618760757
",sample name,400.0,-1.5,2818.905242348308
-140.0,"281.0634681583477
",sample name,400.0,-1.5,2818.905242348308
-146.666666667,"281.0188790877797
",sample name,400.0,-1.5,2818.905242348308
-153.333333333,"281.05841222030983
",sample name,400.0,-1.5,2818.905242348308
-160.0,"280.7302603270224
",sample name,400.0,-1.5,2818.905242348308
-166.666666667,"280.9745589500861
",sample name,400.0,-1.5,2818.905242348308
-173.333333333,"281.22074010327026
",sample name,400.0,-1.5,2818.905242348308
-180.0,"281.1312930292599
",sample name,400.0,-1.5,2818.905242348308
-186.666666667,"280.34439543889846
",sample name,400.0,-1.5,2818.905242348308
-193.333333333,"281.153345524957
",sample name,400.0,-1.5,2818.905242348308
-200.0,"281.27673192771084
",sample name,400.0,-1.5,2818.905242348308
